geometry;name;indexOfID;id
MULTIPOLYGON(((7169429.52241492 667364.099326984,7169515.25391624 667439.424202283,7169573.05816815 667524.295475242,7169642.97229726 667663.645173621,7169831.57783892 667830.412985932,7169864.99327116 667951.563448363,7169974.4948368 668024.360841082,7169989.69911032 668109.22292438,7169996.87163763 668114.116099462,7170001.05172479 668126.135425958,7169999.09607917 668131.867993002,7169983.04769452 668127.13413809,7169966.92939618 668130.57807927,7169964.03617672 668162.331884086,7169947.49193797 668194.265090931,7169946.2701303 668209.4414826,7169953.97668145 668215.908849635,7169950.25392179 668230.862781554,7169957.95103357 668249.487524184,7169955.66085327 668265.042293786,7169966.64964622 668294.961839512,7169959.95207369 668325.281040993,7169970.46632077 668340.133430856,7169971.51637598 668364.883688379,7169665.02946385 668364.056580153,7169581.4777768 668405.088939592,7169439.89072908 668405.399649051,7169433.17722505 668226.456102279,7169405.33734561 668193.953992586,7169335.81109437 668128.80563174,7169259.0095621 668069.524041618,7169209.91123108 668009.668094905,7169209.04431558 667990.557959688,7169218.07031 667977.610738237,7169270.2576031 667968.211578885,7169298.08878219 667957.500648688,7169400.75376287 667898.532307463,7169418.11261814 667883.67034887,7169454.97226987 667815.814405205,7169520.45643595 667718.17697577,7169536.39385328 667684.197127792,7169561.82377773 667600.140962978,7169557.5445653 667588.040600142,7169415.41815063 667393.319843233,7169429.52241492 667364.099326984)));Vila Rurbana;39;171
MULTIPOLYGON(((7169987.5173536 667200.178846739,7170250.48180279 667270.253987718,7170183.02635399 667635.291862172,7169941.9988352 667382.682176903,7169941.33249279 667381.930298806,7169987.5173536 667200.178846739)));Vila Ludovica;40;172
MULTIPOLYGON(((7167094.30013196 665509.802337476,7167110.4697798 665513.750204245,7167225.09959676 665535.86848016,7167326.12375836 665549.188928572,7167586.18921662 665598.119446618,7167827.40239439 665647.680936771,7167989.07797502 665679.015681508,7168099.61439651 665686.418245834,7168174.96117308 665695.985031712,7168236.41253233 665719.162217491,7168345.36633223 665785.194763042,7168439.62472786 665859.654990547,7168511.58565114 665934.712540026,7168594.13728722 665985.751471948,7168642.45960421 666030.326536956,7168687.01510375 666102.452473669,7168729.37648537 666143.508004872,7168760.93910045 666157.695421021,7168854.98794737 666180.428230871,7169048.62337646 666194.91945563,7169143.49316646 666221.109143716,7169200.78647705 666234.754083185,7169347.53745445 666227.100480483,7169417.2353675 666208.137141415,7169485.08762786 666200.363040538,7169545.14954644 666223.858639503,7169543.44202747 666267.491866595,7169550.56116009 666348.620433313,7169579.27272731 666418.122993128,7169607.20479185 666490.580042925,7169609.27986377 666561.237342544,7169582.39189348 666641.941392238,7169578.22749059 666679.063674089,7169577.58449636 666803.951464463,7169584.1542161 667036.564754721,7169585.71983471 667059.260797632,7169592.61856718 667084.254177932,7169589.9377157 667106.33436169,7169589.27895709 667114.695384222,7169573.78323656 667156.859854399,7169506.77938547 667193.193722713,7169464.95504144 667226.125755775,7169468.97955211 667257.663789358,7169487.3972332 667301.368703896,7169526.04506455 667364.397218465,7169555.72321172 667417.396890508,7169591.26996278 667486.485761352,7169615.84172096 667522.642970146,7169638.66723387 667577.847990648,7169666.97097892 667619.387531505,7169684.03316664 667650.105599817,7169722.90975107 667694.832848301,7169768.12486799 667718.289555989,7169813.63400793 667779.116268046,7169851.93949563 667809.338744855,7169883.06618826 667867.704257323,7169899.5032699 667947.999409188,7169973.01110545 668013.752071202,7169984.89157471 668034.499217737,7169998.78320469 668075.85913545,7170009.09661053 668099.631024201,7170021.68214769 668124.195223472,7170048.73609625 668144.370340205,7170068.46371048 668144.619185195,7170083.4353523 668160.060283085,7170094.44548037 668189.18650986,7170131.89092357 668227.799778193,7170173.42298377 668242.812639753,7170214.82987552 668267.741084277,7170267.51611929 668300.448351415,7170311.18543957 668326.932963572,7170373.50843098 668377.295833732,7170375.61547168 668390.284142158,7170422.15580699 668429.777309889,7170525.11371116 668566.082223643,7170587.23464812 668633.234663958,7170652.92168784 668717.966710888,7170676.45924621 668764.696709683,7170689.22122394 668816.364740633,7170685.47942095 668836.272865852,7170680.27439541 668865.868902042,7170664.61287433 668895.332465408,7170658.15016611 668919.255443289,7170656.16738611 668948.088384895,7170665.96165051 668979.492165898,7170665.14970786 669001.597703792,7170648.40567899 669052.630633288,7170644.64209407 669117.031248991,7170643.55159845 669158.455676629,7170643.45097838 669161.147284375,7170756.8970103 669140.902650386,7170961.9529062 669296.88128243,7170909.72643958 669416.566566264,7170823.53077179 669660.035406623,7170818.43286548 669675.846758933,7170815.71134021 669706.017130892,7170811.87324715 669725.552295572,7170861.83930703 669740.205640156,7170867.30028911 669775.07235296,7170832.12542761 669856.879537451,7170801.64298554 669892.082096191,7170753.74395518 669946.485719829,7170737.99513738 670003.459231203,7170723.32051467 670060.446327104,7170697.73066496 670132.396460428,7170674.51944513 670162.907945307,7170604.29060304 670132.661136173,7170555.37850627 670129.20344007,7170510.03943854 670140.923688573,7170453.007851 670187.722887111,7170437.13429743 670220.537933617,7170370.90216731 670263.390763301,7170325.36069029 670274.464701339,7170285.75983537 670274.933542892,7170269.57975523 670256.268956785,7170236.00761318 670238.367006454,7170186.18227264 670206.652887385,7170118.97740257 670174.717129435,7170102.08138378 670136.621494579,7170064.48227242 670131.288566165,7170016.04985999 670142.325706187,7169994.63109826 670155.646781489,7169985.03408607 670150.671262683,7169934.58969268 670130.1230397,7169915.17759323 670138.12433945,7169874.03327823 670153.625010216,7169845.612693 670191.251938401,7169824.12489663 670216.046136893,7169809.26841318 670229.932975447,7169801.0409283 670232.229250164,7169739.68584799 670234.108194495,7169705.54775593 670218.882341397,7169652.90629506 670171.720737432,7169605.55495946 670149.273190391,7169551.97958931 670119.713221001,7169496.03215882 670111.945872162,7169438.20674561 670087.265212139,7169394.16684244 670079.649999731,7169364.75587863 670078.571335135,7169310.65910653 670089.85708647,7169268.26511775 670118.201381307,7169221.88671424 670128.882109106,7169185.43032388 670131.229830752,7169156.71718902 670130.159941071,7169127.88020049 670139.657907824,7169102.50558168 670151.299859247,7169063.25560052 670152.918559194,7168657.42609306 670142.370935846,7168499.7150381 670076.993335493,7168242.12518086 670032.836098559,7167980.14209945 670015.186048694,7167852.75203767 670017.568235757,7167725.56797593 670028.110204361,7167615.48726871 670119.478177673,7167424.6591999 670187.88267881,7167290.72694199 670253.094757961,7167238.60830445 670307.176749794,7167237.59675159 670386.24264505,7167224.99490681 670425.620775737,7167152.31948698 670430.778122364,7167046.46933679 670429.423158515,7166984.66089235 670451.977447419,7166896.85274736 670460.536924118,7166781.15916408 670475.188209628,7166700.46727261 670512.858979927,7166671.87925989 670573.788416146,7166625.58230563 670597.936345381,7166487.68387574 670592.934521672,7166341.4634719 670569.925974252,7166264.20653747 670589.36715285,7166172.61710653 670601.6331656,7166127.37555861 670584.921346918,7166091.6260378 670579.631609989,7166073.37594134 670584.229204422,7166034.83563021 670587.501964173,7166019.02215892 670612.029268874,7165949.14174577 670598.768452203,7165829.44132695 670626.925591253,7165803.99552323 670487.61335266,7165750.78754806 670288.392753149,7165468.97312668 669838.199495369,7165914.6080699 669642.996500122,7165476.65091536 669235.645109819,7164917.69430785 669630.285996678,7165033.57862325 669230.009082165,7164382.97868457 668116.965588076,7164046.86342449 668414.008058902,7164200.32277637 667748.804855254,7164302.51842109 667719.241202832,7164355.68010126 667689.70154762,7164362.72779952 667646.503993042,7164317.82286468 667600.21117036,7164268.76082927 667562.031385973,7164246.60729359 667516.025760732,7164286.24454412 667464.260315718,7164322.13158583 667451.645999942,7164441.89927425 667550.332983072,7164667.29670972 667322.875711898,7166236.7627799 666788.994378364,7166457.42643926 666613.595419714,7166537.45061452 666514.95243151,7166656.54463988 666409.453891815,7166722.85743172 666303.284025423,7166838.70798573 666263.084573038,7166927.08715341 666211.089941807,7167062.6621885 666087.006626267,7167034.47991302 666002.52676545,7167060.59381038 665927.704346782,7167122.50151928 665848.435524984,7167102.72151918 665741.197649201,7167071.88592903 665673.01888667,7167077.83657418 665586.513555168,7167094.30013196 665509.802337476)));Campo de Santana;41;165
MULTIPOLYGON(((7168558.62705932 667632.601190215,7168600.38227677 667644.006903799,7168672.6582861 667661.603645255,7168667.07333166 667687.242345929,7168534.74401379 667694.92990105,7168514.63398084 667635.282543629,7168558.62705932 667632.601190215)));Praça Philomena Fogaça;42;167
MULTIPOLYGON(((7170980.48941452 663387.28164393,7170997.4258956 663396.492164458,7171043.82355181 663459.589591854,7171013.02647019 663522.816012506,7171046.19965028 663536.857992725,7171053.89585739 663538.017468315,7170902.70088544 663636.421536171,7170696.53159074 663636.73492236,7170900.60583106 663423.33949287,7170917.50314202 663410.434023337,7170938.59414586 663394.314324053,7170980.48941452 663387.28164393)));White Martins;43;265
MULTIPOLYGON(((7167449.65621771 668300.479043267,7167450.56168789 668303.343443336,7167453.01577446 668303.766240405,7167454.95728392 668304.423653908,7167457.29771522 668305.950033388,7167466.8596768 668314.619723572,7167452.90251788 668330.255113136,7167442.32223629 668320.638304838,7167440.77841248 668318.318344662,7167439.39956552 668315.216912708,7167436.65253239 668315.18218959,7167436.51837451 668312.649000314,7167437.1536847 668312.345616766,7167437.24823402 668311.000700198,7167437.90258735 668309.190715775,7167439.83479679 668306.201455097,7167442.22308847 668303.941242266,7167445.15020487 668301.999252981,7167449.65621771 668300.479043267)));Capela do Rocio;44;164
MULTIPOLYGON(((7170143.82857566 666567.877118139,7170278.30699973 666572.471253489,7170290.39674593 666890.208839986,7170098.14504889 666852.816518107,7169695.32487334 666851.813083392,7169698.60121601 666697.106820119,7170144.67263243 666695.330751881,7170143.82857566 666567.877118139)));Sanepar - ETE CIC Xisto;45;170
MULTIPOLYGON(((7168876.22356149 668027.553284355,7168912.10104704 668160.602186899,7168977.40748403 668349.32104071,7168843.87754454 668395.847845505,7168813.22082714 668402.181580002,7168780.10560074 668383.900108968,7168742.56055835 668383.023728031,7168758.28900456 668339.429350839,7168758.31880264 668284.454706169,7168725.12538086 668254.809938911,7168740.91098235 668232.977130286,7168726.98259769 668186.687471608,7168685.97702805 668144.004479807,7168682.49899776 668147.466825142,7168675.52784992 668120.474228656,7168706.02613069 668100.344032003,7168737.40109905 668124.871785315,7168773.20643621 668114.36277596,7168829.92430663 668070.772748397,7168854.33849267 668041.131628659,7168876.22356149 668027.553284355)));Vila Dom Bosco;46;175
MULTIPOLYGON(((7168946.59565776 668269.713138266,7168962.68575231 668314.996142141,7168943.75414242 668321.890178035,7168927.71332872 668276.216026303,7168946.59565776 668269.713138266)));Jardinete Dom Bosco;47;178
MULTIPOLYGON(((7168917.19990562 667949.585187947,7168923.32711221 667964.46122287,7168946.88314728 667994.084571561,7168995.56608062 668028.023501876,7169024.74918967 668065.604827879,7169069.16786601 668145.113055415,7169139.78699453 668185.106666625,7169149.43790483 668210.436131041,7169191.28311418 668221.704528583,7169219.21422913 668246.973565552,7169215.6835298 668298.469824043,7169220.937275 668338.613475997,7169240.5766342 668388.815117199,7169316.9074741 668485.226477435,7169206.79056705 668520.003235788,7169173.72285115 668419.105721878,7169123.67454697 668434.538120226,7169156.70426716 668538.428814468,7169112.14295527 668557.979054849,7169048.75115596 668577.290918557,7169012.41171123 668472.334300202,7168977.40748403 668349.32104071,7168912.10104704 668160.602186899,7168876.22356149 668027.553284355,7168896.69331356 667976.854621122,7168917.19990562 667949.585187947)));Vila California Ii;48;180
