geometry;name;indexOfID;id
MULTIPOLYGON(((7186370.62078857 674079.29083252,7186363.05200195 674046.854003906,7186376.77038574 674043.712036133,7186397.3079834 674039.008422852,7186403.16601562 674064.584594727,7186418.51300049 674060.897827148,7186425.70959473 674092.730224609,7186408.97064209 674086.86541748,7186402.92803955 674085.314208984,7186396.5 674084.972412109,7186391.45800781 674085.612609863,7186373.25561523 674089.416015625,7186370.62078857 674079.29083252)));GENEROSO MARQUES;42;43
MULTIPOLYGON(((7180529.02020264 672111.440185547,7180495.77258301 672172.981201172,7180487.42663574 672172.672241211,7180451.72460938 672100.340637207,7180465.01623535 672049.4921875,7180471.11022949 672051.340209961,7180476.46020508 672054.110229492,7180482.5602417 672059.040222168,7180500.00018311 672078.130187988,7180507.74023438 672086.600219727,7180529.02020264 672111.440185547)));ANNA RITTER;43;44
MULTIPOLYGON(((7182293.05999756 673275.106994629,7182325.89758301 673261.59362793,7182303.90222168 673206.073791504,7182380.44622803 673174.998413086,7182384.15319824 673173.493408203,7182438.57458496 673151.399414062,7182439.52258301 673151.028015137,7182440.37298584 673150.731201172,7182441.49304199 673150.461608887,7182442.63421631 673150.304626465,7182443.78521729 673150.262023926,7182444.93499756 673150.333984375,7182446.07159424 673150.520202637,7182447.18438721 673150.818237305,7182448.26184082 673151.225585938,7182449.29364014 673151.738037109,7182450.26898193 673152.350585938,7182451.17883301 673153.057189941,7182452.01379395 673153.850585938,7182491.22619629 673194.346801758,7182496.12921143 673199.410400391,7182541.19824219 673245.955200195,7182541.4420166 673246.233215332,7182541.65722656 673246.533813477,7182541.84161377 673246.854431152,7182541.99359131 673247.191589355,7182542.11138916 673247.541992188,7182542.19421387 673247.902404785,7182542.24102783 673248.269226074,7182542.25140381 673248.638793945,7182542.22521973 673249.0078125,7182542.1628418 673249.372192383,7182542.06463623 673249.728820801,7182541.93182373 673250.073791504,7182541.765625 673250.40423584,7182541.56762695 673250.71661377,7182541.33978271 673251.0078125,7182541.08422852 673251.27520752,7182540.80358887 673251.515991211,7182540.50061035 673251.728027344,7182540.17822266 673251.908996582,7182539.8394165 673252.057189941,7182430.25402832 673296.244384766,7182415.41418457 673302.228027344,7182367.32720947 673321.617614746,7182365.55578613 673322.331787109,7182349.25061035 673328.906433105,7182348.65240479 673329.113586426,7182348.03662109 673329.260009766,7182347.40924072 673329.344238281,7182346.77661133 673329.365600586,7182346.14501953 673329.323608398,7182345.52081299 673329.218994141,7182344.91003418 673329.052612305,7182344.31878662 673328.82598877,7182343.75341797 673328.541809082,7182343.21899414 673328.202392578,7182342.7210083 673327.811584473,7182342.2645874 673327.37298584,7182293.05999756 673275.106994629)));BENTO MUNHOZ DA ROCHA NETO;44;45
MULTIPOLYGON(((7184868.74060059 667805.130615234,7184950.54058838 667672.880615234,7184895.84063721 667848.570617676,7184894.58062744 667849.440612793,7184892.49060059 667849.610595703,7184890.40063477 667848.450622559,7184868.74060059 667805.130615234)));LORIS ESCORSIN;45;46
MULTIPOLYGON(((7186576.11560059 676850.855834961,7186575.65643311 676850.362609863,7186576.75543213 676821.916015625,7186576.79919434 676821.379211426,7186576.89880371 676820.84942627,7186577.05279541 676820.333007812,7186577.25958252 676819.835388184,7186577.51721191 676819.361999512,7186577.8223877 676818.918029785,7186578.17224121 676818.507995605,7186578.56280518 676818.13659668,7186578.98980713 676817.807983398,7186579.4486084 676817.525390625,7186579.93438721 676817.292236328,7186580.4420166 676817.110595703,7186580.96539307 676816.982788086,7186581.49938965 676816.910217285,7186581.81378174 676816.900634766,7186582.03839111 676816.893615723,7186638.92138672 676822.981628418,7186656.31481934 676824.843017578,7186662.5012207 676825.346801758,7186661.17022705 676826.106201172,7186659.48822021 676826.979797363,7186657.94500732 676827.722839355,7186656.40179443 676828.376037598,7186653.80499268 676829.35760498,7186640.58538818 676833.864440918,7186634.58300781 676833.060424805,7186620.55462646 676837.843383789,7186607.99841309 676842.124389648,7186577.62762451 676852.479614258,7186576.11560059 676850.855834961)));DAS NAÇÕES;46;47
MULTIPOLYGON(((7186509.94018555 672238.550231934,7186518.30084229 672199.75378418,7186530.77020264 672229.620239258,7186509.94018555 672238.550231934)));ISABEL LOPES SANTOS SOUZA;47;48
MULTIPOLYGON(((7187533.99884033 672926.498413086,7187527.93621826 672951.71282959,7187521.15203857 672923.333618164,7187533.99884033 672926.498413086)));DOUTOR ERNANI ARZUA PEREIRA;48;49
MULTIPOLYGON(((7187827.89019775 672836.360229492,7187822.85400391 672835.63079834,7187817.29803467 672835.004394531,7187811.76959229 672834.559204102,7187806.84539795 672834.311218262,7187800.22662354 672834.072021484,7187804.95019531 672814.790222168,7187813.21020508 672810.130187988,7187827.89019775 672836.360229492)));DE HIMEJI;49;50
MULTIPOLYGON(((7187741.68023682 672548.640197754,7187717.35021973 672527.190185547,7187698.16021729 672514.950195312,7187677.04022217 672505.830200195,7187658.27020264 672500.000183105,7187671.29022217 672450.170227051,7187697.10021973 672470.890197754,7187719.27020264 672496.240234375,7187752.74023438 672504.82019043,7187741.68023682 672548.640197754)));null;50;51
MULTIPOLYGON(((7187657.88641357 672432.805236816,7187656.07019043 672440.560241699,7187655.22021484 672443.940185547,7187652.13018799 672456.180236816,7187589.90881348 672397.147399902,7187609.09863281 672397.255187988,7187612.68041992 672397.27520752,7187615.79443359 672397.292785645,7187619.79962158 672396.284790039,7187657.88641357 672432.805236816)));null;51;52
MULTIPOLYGON(((7180850.17462158 673203.317626953,7180850.85321045 673203.319824219,7180861.84680176 673247.601989746,7180842.39758301 673252.60723877,7180838.79541016 673249.050415039,7180850.17462158 673203.317626953)));DOUTOR JOÃO PAUL;52;53
MULTIPOLYGON(((7180809.72558594 673595.179016113,7180809.75579834 673595.739196777,7180809.82818604 673598.630187988,7180809.81878662 673601.065612793,7180809.75042725 673603.365234375,7180809.63360596 673605.52520752,7180809.47039795 673607.632385254,7180809.206604 673610.187194824,7180808.8303833 673613.01184082,7180808.34661865 673615.935424805,7180807.71740723 673619.078430176,7180807.06518555 673621.856811523,7180806.29003906 673624.742614746,7180805.49621582 673627.368591309,7180805.05438232 673628.688232422,7180784.01782227 673601.850402832,7180809.72558594 673595.179016113)));JOÃO BARÃO;53;54
MULTIPOLYGON(((7179022.8102417 676550.960205078,7179032.38018799 676573.270202637,7179037.24023438 676584.640197754,7179046.79022217 676606.960205078,7179014.04022217 676620.980224609,7179004.5802002 676598.670227051,7178999.34020996 676587.580200195,7178989.76019287 676565.140197754,7179022.8102417 676550.960205078)));TENENTE MANUEL GOMES DE BRITTO;54;55
MULTIPOLYGON(((7178971.50018311 676431.540222168,7178981.25018311 676454.040222168,7178986.0802002 676465.010192871,7178995.68023682 676487.560241699,7178962.47021484 676501.700195312,7178952.82019043 676479.080200195,7178948.41021729 676467.530212402,7178938.36022949 676445.700195312,7178971.50018311 676431.540222168)));null;55;56
MULTIPOLYGON(((7178726.55023193 674713.240234375,7178706.25018311 674773.780212402,7178706.01019287 674774.600219727,7178705.62023926 674774.760192871,7178704.12023926 674774.510192871,7178703.01019287 674774.020202637,7178645.36022949 674705.280212402,7178644.73022461 674703.590209961,7178644.70019531 674702.180236816,7178645.21020508 674700.640197754,7178645.75018311 674699.980224609,7178654.99023438 674703.250183105,7178668.09020996 674706.750183105,7178678.46020508 674709.090209961,7178692.04022217 674710.370239258,7178703.7802124 674710.620239258,7178713.19018555 674710.240234375,7178719.79022217 674709.870239258,7178722.86022949 674709.950195312,7178724.19018555 674710.500183105,7178726.00018311 674711.930236816,7178726.60021973 674712.590209961,7178726.55023193 674713.240234375)));IMER COLLARES MARQUES;56;57
MULTIPOLYGON(((7178948.32019043 672107.160217285,7178950.38018799 672127.730224609,7178948.76019287 672131.760192871,7178947.14019775 672132.390197754,7178926.85021973 672134.220214844,7178921.24023438 672133.580200195,7178916.68023682 672131.910217285,7178913.35021973 672129.750183105,7178893.45019531 672109.540222168,7178893.0602417 672108.430236816,7178893.86022949 672106.950195312,7178894.99023438 672106.32019043,7178944.0602417 672101.520202637,7178946.75018311 672102.860229492,7178947.72021484 672104.370239258,7178948.32019043 672107.160217285)));JORGE HAIKEL FAHD;57;58
