stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
7941,150651,"Rua das Perdizes, 16 - Novo Mundo",666 - Novo Mundo (Ponto Final).,-25.492493694247,-49.281699020272,,,0,,,
8129,170114,"Rua Dep.Waldemiro Pedroso, 1993 - Novo Mundo",654- Campo Alegre (Sentido Terminal Capão Raso) 673 - Formosa (Ponto Final) 828 - C. Comprido/ C. Raso (Sentido Terminal Capão Raso) 831- Fazendinha/C. Raso (Sentido Terminal Capão Raso),-25.49273731085,-49.312507944775,,,0,,,
8239,170477,"Rua Teresa de Freitas Tavares, 648 - Campo de Santana",680 - Rurbana (Ponto Final).,-25.582966699075,-49.328965695315,,,0,,,
8279,170920,Estrada Engenheiro Blei - Cidade Industrial,681 - Dalagassa .,-25.55752258503,-49.322871717297,,,0,,,
8337,170962,Rua Ismael de Almeida - Campo de Santana,685 - Rio Bonito / CIC (Sentido CICl).,-25.5944396,-49.3448075,,,0,,,
8644,170549,"Rua Luís Leal da Rocha, 3 - Campo de Santana",680 - Rurbana (Sentido Terminal Pinheiriho) 690 - V. Juliana (sentido Terminal Pinheirinho),-25.576356643788,-49.32209731842,,,0,,,
8727,109030,Estação Tubo Guadalupe,Estação Tubo Guadalupe - Sentido Santa Cândida,-25.433655433387,-49.263477908598,,,0,25427,,
8871,180500,"Rua do Semeador, 556- Cidade Industrial",711- Itatiaia (Ponto Final),-25.470727687224,-49.351928334359,,,0,,,
8944,180442,"Rua Alcir Martins Bastos, 1035 - Fazendinha",Ponto de Parada: 713- Sta Amélia (Ponto Final) 789 - Mad. Caiuá (Sentido Praça Rui Barbosa),-25.4911614211,-49.328305760119,,,0,,,
8967,180434,"Rua V, 176 - Cidade Industrial",714 - Vila Marisa (Ponto Final ).,-25.501582376203,-49.345355293254,,,0,,,
8983,105002,Terminal Caiuá - 714 - Vila Marisa / 721 - Mário Jorge,Terminal Caiuá 714 - Vila Marisa (Sentido Vila Marisa) 721 - Rua Mário Jorge (Sentido Rua Mário Jorge),-25.483741908752,-49.350296164418,,,0,14515,,
